Customer_ID,Mobile_app_version,Login_count,Customer_retention_30,Customer_retention_60
CU116,Updated_version,3,FALSE,FALSE
CU337,Updated_version,38,TRUE,FALSE
CU377,Outdated_version,165,TRUE,FALSE
CU483,Outdated_version,1,FALSE,FALSE
CU488,Outdated_version,179,TRUE,TRUE
CU540,Outdated_version,187,TRUE,TRUE
CU1066,Updated_version,0,FALSE,FALSE
CU1444,Outdated_version,2,FALSE,FALSE
CU1574,Outdated_version,108,TRUE,TRUE
CU1587,Outdated_version,153,TRUE,FALSE
CU1842,Outdated_version,3,FALSE,TRUE
CU2101,Updated_version,0,FALSE,FALSE
CU2132,Outdated_version,30,TRUE,FALSE
CU2179,Updated_version,39,TRUE,FALSE
CU2218,Updated_version,305,TRUE,TRUE
CU2382,Updated_version,73,TRUE,FALSE
CU2392,Updated_version,14,TRUE,FALSE
CU2451,Updated_version,204,TRUE,TRUE
CU2482,Updated_version,108,TRUE,TRUE
CU2502,Outdated_version,1,FALSE,FALSE
CU2530,Outdated_version,9,TRUE,FALSE
CU2534,Updated_version,5,TRUE,FALSE
CU2695,Outdated_version,45,TRUE,FALSE
CU2729,Updated_version,105,FALSE,TRUE
CU2829,Updated_version,4,FALSE,FALSE
CU2963,Updated_version,3,FALSE,FALSE
CU3095,Updated_version,0,FALSE,FALSE
CU3132,Outdated_version,80,TRUE,TRUE
CU3186,Outdated_version,4,FALSE,FALSE
CU3199,Updated_version,5,FALSE,FALSE
CU3204,Outdated_version,53,TRUE,TRUE
CU3413,Updated_version,37,TRUE,FALSE
CU3690,Updated_version,13,TRUE,FALSE
CU3696,Updated_version,50,FALSE,FALSE
CU3993,Outdated_version,202,TRUE,TRUE
CU4076,Outdated_version,0,FALSE,FALSE
CU4162,Updated_version,23,FALSE,FALSE
CU4176,Updated_version,0,FALSE,FALSE
CU4283,Updated_version,103,FALSE,FALSE
CU4594,Updated_version,27,FALSE,FALSE
CU4653,Outdated_version,15,FALSE,FALSE
CU4881,Updated_version,0,FALSE,FALSE
CU4902,Outdated_version,1,FALSE,FALSE
CU4916,Outdated_version,49,TRUE,FALSE
CU4918,Updated_version,7,FALSE,FALSE
CU4929,Updated_version,386,TRUE,TRUE
CU4945,Outdated_version,25,TRUE,FALSE
CU5066,Updated_version,1,FALSE,FALSE
CU5215,Updated_version,13,TRUE,FALSE
CU5286,Updated_version,12,TRUE,FALSE
CU5345,Outdated_version,6,FALSE,FALSE
CU5479,Updated_version,25,TRUE,FALSE
CU5550,Updated_version,29,TRUE,FALSE
CU5661,Updated_version,136,TRUE,FALSE
CU5712,Updated_version,105,TRUE,TRUE
CU5920,Outdated_version,10,TRUE,FALSE
CU5943,Outdated_version,76,FALSE,FALSE
CU6099,Outdated_version,138,FALSE,FALSE
CU6123,Updated_version,0,FALSE,FALSE
CU6151,Updated_version,94,TRUE,TRUE
CU6156,Outdated_version,1,FALSE,FALSE
CU6492,Updated_version,0,FALSE,FALSE
CU6664,Outdated_version,26,TRUE,FALSE
CU6695,Outdated_version,127,TRUE,FALSE
CU6833,Outdated_version,6,FALSE,FALSE
CU6842,Outdated_version,4,FALSE,FALSE
CU6924,Updated_version,21,FALSE,FALSE
CU6930,Outdated_version,297,TRUE,TRUE
CU7124,Outdated_version,108,TRUE,TRUE
CU7253,Updated_version,45,TRUE,FALSE
CU7321,Outdated_version,33,FALSE,FALSE
CU7509,Outdated_version,0,FALSE,FALSE
CU7527,Updated_version,80,FALSE,FALSE
CU7564,Updated_version,21,FALSE,FALSE
CU7582,Outdated_version,3,FALSE,FALSE
CU7767,Updated_version,139,TRUE,TRUE
CU7866,Updated_version,14,FALSE,FALSE
CU8063,Updated_version,50,TRUE,FALSE
CU8254,Outdated_version,14,FALSE,FALSE
CU8256,Outdated_version,14,FALSE,FALSE
CU8288,Updated_version,9,FALSE,FALSE
CU8317,Outdated_version,3,FALSE,FALSE
CU8379,Updated_version,0,FALSE,FALSE
CU8464,Updated_version,10,FALSE,FALSE
CU8465,Outdated_version,4,FALSE,FALSE
CU8494,Updated_version,5,TRUE,FALSE
CU8644,Updated_version,2,FALSE,FALSE
CU8679,Updated_version,0,FALSE,FALSE
CU8692,Updated_version,3,TRUE,FALSE
CU8753,Outdated_version,10,TRUE,FALSE
CU8788,Updated_version,19,FALSE,TRUE
CU8801,Outdated_version,0,FALSE,FALSE
CU8885,Outdated_version,5,FALSE,FALSE
CU9001,Outdated_version,16,TRUE,FALSE
CU9308,Outdated_version,95,TRUE,FALSE
CU9443,Outdated_version,3,FALSE,FALSE
CU9589,Updated_version,8,FALSE,FALSE
CU9699,Outdated_version,8,FALSE,FALSE
CU9828,Outdated_version,1,FALSE,FALSE
CU9831,Outdated_version,3,FALSE,FALSE
CU9849,Outdated_version,1,FALSE,FALSE
CU10112,Updated_version,6,FALSE,FALSE
CU10200,Outdated_version,106,FALSE,TRUE
CU10218,Updated_version,22,TRUE,FALSE
CU10276,Outdated_version,1,FALSE,FALSE
CU10336,Updated_version,11,FALSE,FALSE
CU10476,Outdated_version,4,FALSE,FALSE
CU10533,Outdated_version,21,FALSE,FALSE
CU10598,Outdated_version,8,FALSE,FALSE
CU10636,Updated_version,246,TRUE,TRUE
CU10637,Outdated_version,0,FALSE,FALSE
CU10676,Outdated_version,6,FALSE,FALSE
CU10756,Updated_version,16,FALSE,FALSE
CU10884,Outdated_version,49,TRUE,FALSE
CU11093,Outdated_version,54,TRUE,TRUE
CU11127,Updated_version,66,TRUE,TRUE
CU11297,Updated_version,0,FALSE,FALSE
CU11411,Updated_version,122,TRUE,TRUE
CU11420,Updated_version,75,TRUE,FALSE
CU11599,Updated_version,3,FALSE,FALSE
CU11675,Outdated_version,17,FALSE,FALSE
CU11747,Updated_version,1,TRUE,FALSE
CU11840,Updated_version,24,FALSE,FALSE
CU11886,Updated_version,3,FALSE,FALSE
CU12053,Updated_version,11,TRUE,FALSE
CU12067,Outdated_version,7,FALSE,FALSE
CU12163,Updated_version,47,TRUE,FALSE
